City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name,Hotel Location Code
4,Iracoubo,GF,86.04,light rain,5.48,-53.2,Le Gite D Iracoubo,ChIJAcV9k1hDDo0REJBJbbqcHTc
5,Cam Ranh,VN,84.2,few clouds,11.92,109.16,OYO 598 Peony Hotel,ChIJt7i-AQbtcDERUjY4Osz-2Ws
7,Lazaro Cardenas,MX,83.52,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua,ChIJ0Xy0XG9cMYQRj_ftS-HNei8
11,Alugan,PH,78.73,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT,ChIJcdw6NGllCTMRRQsaatTrsRM
16,Carora,VE,89.69,broken clouds,10.18,-70.08,Hotel Irpinia,ChIJVbPoGGTth44RTY6h4aut3mE
17,Nizwa,OM,88.21,clear sky,22.93,57.53,Orient Apartments,ChIJdXCdtQ36jj4RJ4hUYxOMbLY
18,Tabas,IR,78.8,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد,ChIJHeA_rPCzDj8RIq_fbR-8Rz8
31,Hithadhoo,MV,83.97,broken clouds,-0.6,73.08,Scoop Guest House,ChIJ9_kbTyqgtSQRBBO4JrS479o
33,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang,ChIJ90R6HjreSjARVv8AxjhBhpw
46,Pachino,IT,82.4,clear sky,36.72,15.09,Il Veliero,ChIJ1SMo61AhEhMRy6qNr4R5jTU
49,Yulara,AU,80.6,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort,ChIJ24TZRSNAIysRYjNts0ZvnUY
55,Najran,SA,82.4,clear sky,17.49,44.13,محمد هادي ال فطيح,ChIJRZMb6fzr_hURILNDHAgDpWs
57,Sinnamary,GF,84.78,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary,ChIJI8U4MnIWDo0Ru8IqGvZmgr8
67,Lorengau,PG,78.91,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel,ChIJm05TIcb0hWgRcPyK4fK19-Y
70,Kahului,US,82.4,broken clouds,20.89,-156.47,Maui Seaside Hotel,ChIJi7shuN7SVHkRlj70fKaE7N0
71,Marbella,ES,75.2,scattered clouds,36.52,-4.89,Hotel Fuerte Marbella,ChIJGZa5T_gncw0R7AybSBEjzpU
77,Atuona,PF,78.17,light rain,-9.8,-139.03,Villa Enata,ChIJ6TdkUOUhN3YRm5q1WA7YE4U
81,Namatanai,PG,77.16,overcast clouds,-3.67,152.43,Namatanai Hotel,ChIJE2dDNU3rvmgRj1k1-Pz6iCU
93,Marsa Matruh,EG,77.0,clear sky,31.35,27.25,Beau Site,ChIJPwL-I9b-YRQRosmSlmjf_VQ
100,Ca Mau,VN,77.81,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau,ChIJ-T5n45BJoTERL7ka_g0x7aI
102,Mandal,IN,81.54,clear sky,25.45,74.57,पीपी वाले हनुमान जी,ChIJwYffKvXnaDkRB0uOfh3zJJk
