City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Vaini,-21.2,-175.2,73.4,88,75,10.29,TO,broken clouds
1,Hermanus,-34.42,19.23,55.99,89,100,7.0,ZA,light rain
2,Tasiilaq,65.61,-37.64,39.2,60,75,21.92,GL,light intensity shower rain
3,Kepanjen,-8.13,112.57,72.9,90,92,2.08,ID,moderate rain
4,Iracoubo,5.48,-53.2,86.04,63,16,8.63,GF,light rain
5,Cam Ranh,11.92,109.16,84.2,79,20,4.7,VN,few clouds
6,Saint Anthony,45.02,-93.22,46.4,45,90,3.74,US,overcast clouds
7,Lazaro Cardenas,17.96,-102.2,83.52,71,0,3.6,MX,clear sky
8,Mar Del Plata,-38.0,-57.56,53.01,53,40,16.11,AR,scattered clouds
9,Ushuaia,-54.8,-68.3,33.8,80,75,29.97,AR,broken clouds
10,Tilichiki,60.47,166.1,31.17,94,84,11.95,RU,broken clouds
11,Alugan,12.22,125.48,78.73,86,99,4.97,PH,overcast clouds
12,Lata,40.16,-8.33,63.0,58,53,10.0,PT,broken clouds
13,Chuy,-33.7,-53.46,58.44,65,6,17.72,UY,clear sky
14,Rikitea,-23.12,-134.97,72.27,81,1,20.62,PF,clear sky
15,Pangnirtung,66.15,-65.71,30.2,54,40,0.54,CA,scattered clouds
16,Carora,10.18,-70.08,89.69,42,84,2.55,VE,broken clouds
17,Nizwa,22.93,57.53,88.21,15,0,5.39,OM,clear sky
18,Tabas,33.6,56.92,78.8,20,0,2.24,IR,clear sky
19,Tuktoyaktuk,69.45,-133.04,35.6,100,90,5.82,CA,fog
20,Puerto Ayora,-0.74,-90.35,73.4,64,20,20.8,EC,few clouds
21,Gao,16.64,1.64,99.88,24,22,5.84,ML,light rain
22,Avarua,-21.21,-159.78,73.4,88,85,6.93,CK,overcast clouds
23,Severo-Kurilsk,50.68,156.12,47.08,87,16,12.03,RU,few clouds
24,Arraial Do Cabo,-22.97,-42.03,91.4,55,0,8.05,BR,clear sky
25,Amga,60.9,131.96,28.18,90,73,2.62,RU,broken clouds
26,Punta Arenas,-53.15,-70.92,39.2,48,75,20.8,CL,broken clouds
27,Saint-Pierre,-21.34,55.48,73.4,78,5,3.36,RE,clear sky
28,Carnarvon,-24.87,113.63,60.8,100,40,25.28,AU,scattered clouds
29,Porto Belo,-27.16,-48.55,100.99,66,20,9.17,BR,few clouds
30,Payo,-3.75,103.64,71.83,93,75,1.43,ID,moderate rain
31,Hithadhoo,-0.6,73.08,83.97,70,72,8.19,MV,broken clouds
32,Ust-Donetskiy,47.64,40.87,67.33,27,100,8.32,RU,overcast clouds
33,Georgetown,5.41,100.34,77.0,88,20,3.36,MY,few clouds
34,Busselton,-33.65,115.33,43.0,70,10,11.92,AU,clear sky
35,Mataura,-46.19,168.86,47.62,70,42,7.56,NZ,scattered clouds
36,Zawiercie,50.49,19.42,60.01,93,23,6.93,PL,few clouds
37,Hobart,-42.88,147.33,55.4,71,40,11.41,AU,light rain
38,Caraquet,47.79,-64.94,57.2,71,75,2.24,CA,broken clouds
39,Helong,42.54,129.0,43.99,79,10,5.3,CN,clear sky
40,Ahipara,-35.17,173.17,51.84,86,100,5.82,NZ,overcast clouds
41,Longyearbyen,78.22,15.64,35.6,80,75,10.29,SJ,broken clouds
42,Hilo,19.73,-155.09,73.4,78,1,8.01,US,clear sky
43,Ilulissat,69.22,-51.1,42.8,35,75,17.22,GL,broken clouds
44,Alofi,-19.06,-169.92,73.4,100,9,4.7,NU,light rain
45,Norman Wells,65.28,-126.83,37.4,100,40,5.82,CA,scattered clouds
46,Pachino,36.72,15.09,82.4,58,1,4.7,IT,clear sky
47,Nanortalik,60.14,-45.24,38.53,93,100,8.37,GL,moderate rain
48,Karpogory,64.0,44.45,49.96,88,65,4.79,RU,broken clouds
49,Yulara,-25.24,130.99,80.6,14,49,8.05,AU,scattered clouds
50,Stoilesti,44.9,24.38,62.38,59,46,1.99,RO,scattered clouds
51,Saint George,37.1,-113.58,66.2,11,1,3.36,US,clear sky
52,Whitehorse,60.72,-135.05,48.2,57,90,24.16,CA,overcast clouds
53,Kamaishi,39.27,141.88,62.28,82,88,6.51,JP,overcast clouds
54,Tiksi,71.69,128.87,27.84,94,100,19.64,RU,overcast clouds
55,Najran,17.49,44.13,82.4,17,0,9.17,SA,clear sky
56,Laela,-8.57,32.05,76.59,25,35,2.08,TZ,scattered clouds
57,Sinnamary,5.38,-52.95,84.78,70,40,8.39,GF,light rain
58,Suhbaatar,50.23,106.21,28.94,88,100,4.7,MN,overcast clouds
59,Paranaiba,-19.68,-51.19,106.99,11,0,8.95,BR,clear sky
60,Reims,49.17,4.08,57.2,93,100,5.82,FR,mist
61,Port Alfred,-33.59,26.89,61.02,77,100,28.79,ZA,light rain
62,Husavik,66.04,-17.34,39.2,64,100,3.36,IS,overcast clouds
63,Torbay,47.67,-52.73,61.0,93,90,10.29,CA,overcast clouds
64,Zhigansk,66.77,123.37,29.66,93,46,20.49,RU,scattered clouds
65,Latung,5.5,120.88,84.2,68,28,2.71,PH,scattered clouds
66,Hualmay,-11.1,-77.61,65.03,74,77,9.08,PE,broken clouds
67,Lorengau,-2.02,147.27,78.91,80,100,8.68,PG,overcast clouds
68,Chimoio,-19.12,33.48,73.4,83,20,17.22,MZ,few clouds
69,Kodiak,57.79,-152.41,51.8,87,90,29.97,US,moderate rain
70,Kahului,20.89,-156.47,82.4,69,75,10.29,US,broken clouds
71,Marbella,36.52,-4.89,75.2,64,40,13.87,ES,scattered clouds
72,Jamestown,42.1,-79.24,53.01,76,75,16.11,US,broken clouds
73,Altay,47.87,88.12,36.86,73,0,1.54,CN,clear sky
74,Juneau,58.3,-134.42,51.8,87,90,12.75,US,moderate rain
75,Taksimo,56.34,114.88,31.84,93,100,3.18,RU,overcast clouds
76,Paamiut,61.99,-49.67,39.69,91,100,21.52,GL,light rain
77,Atuona,-9.8,-139.03,78.17,75,5,23.96,PF,light rain
78,Provideniya,64.38,-173.3,40.01,90,88,14.92,RU,overcast clouds
79,Thompson,55.74,-97.86,39.2,86,90,4.7,CA,overcast clouds
80,Hearst,49.68,-83.67,35.31,87,100,4.9,CA,overcast clouds
81,Namatanai,-3.67,152.43,77.16,79,99,4.7,PG,overcast clouds
82,Albany,42.6,-73.97,55.0,90,100,4.36,US,light rain
83,Douglas,41.3,-96.17,54.0,53,1,3.38,US,clear sky
84,Shakiso,5.75,38.92,60.91,91,87,2.48,ET,moderate rain
85,Vagur,61.47,-6.81,50.9,90,70,20.02,FO,broken clouds
86,Kargopol,61.51,38.95,48.74,87,0,1.74,RU,clear sky
87,Dikson,73.51,80.55,35.47,84,94,25.03,RU,overcast clouds
88,Trussville,33.62,-86.61,66.99,34,1,13.87,US,clear sky
89,Cape Town,-33.93,18.42,62.01,67,20,14.99,ZA,few clouds
90,Esperance,-33.87,121.9,51.8,100,90,6.93,AU,overcast clouds
91,Leh,34.17,77.58,46.44,37,0,3.69,IN,clear sky
92,Hamilton,39.18,-84.53,59.0,58,40,4.7,US,scattered clouds
